"Name"
"Kastrati, Drilon"
"Kastrati, Florent"
"Kastrati, Meriton"
"Katana, Steve"
"Kathriner, Benedikt"
"Katz, Guillaume"
"Kaufmann, Valentin"
"Kehl-Gomez, Marco"
"Kehrli, Nicolas"
"Kehrli, Raphael"
"Keller, Caine"
"Keller, Joel"
"Keller, Michael"
"Keller, Michael"
"Keller, Noah"
"Keller, Stijn"
"Kempter, Michael"
"Kernen, Walter"
"Khelifi, Alexandre"
"Khelifi, Salim"
"Kiassumbua, Joel"
"Kieffer, Xavier"
"Kiener, Leonard"
"Kilchberger, Marcello"
"Kilezi, Astor"
"K?l?nc, Deniz"
"Kissling, Jahaim"
"Kitenge, Paterne"
"Klaus, Oliver"
"Kleiber, Mike"
"Klein, Yuri-Gino"
"Kleiner, Olivier"
"Klloqoki, Egzon"
"Klose, Timm"
"Knezevic, Djordje"
"Knezevic, Stefan"
"Knopfel, Thomas"
"Kobel, Gregor"
"Koc, Yunus"
"Koca, Hikmet"
"Koch, Philippe"
"Kohler, Jean-Pat"
"Kohler, Nico"
"Kohly, Levin"
"Kohn, Philipp"
"Koide, Henri"
"Kok, Sonny"
"Kololli, Benjamin"
"Konigsdorfer, Julian"
"Kosic, Svetlan"
"Kosnic, Jevrem"
"Kostadinovic, Zivko"
"Kouame, Yannick"
"Kovacevic, Danijel"
"Kovacevic, Mihael"
"Kovacic, Ilija"
"Kranz, Ralph"
"Kranzle, Nicolas"
"Krasniqi, Alban"
"Krasniqi, Bledian"
"Krasniqi, Diar"
"Krasniqi, Genc"
"Krasniqi, Jetmir"
"Krattli, Livio"
"Krauchi, Alessandro"
"Krleski, Deni"
"Kron, Stephan"
"Kronig, Jan"
"Krstic, Kristijan"
"Krucker, Nico"
"Kryeziu, Hekuran"
"Kryeziu, Mirlind"
"Kubli, Manuel"
"Kucani, Sanijel"
"Kuhn, Dominik"
"Kukeli, Burim"
"Kunz, Thomas"
"Kuquku, Shaban"
"Kurman, Dario"
"Kursner, Romain"
"Kurt, Serhat"
"Kurth, Veriano"
"Kurtic, Nezir"
"Kusunga, Genseric"
"Kutesa, Dereck"
"Kuzmanovic, Zdravko"
"la Rocca, Georges"
"la Rocca, Giovanni"
"Lacroix, Leo"
"Ladner, Luca"
"Lagrotteria, Dario"
"Lai, Osvaldo"
"Lala, Endri"
"Lamanna, Cristian"
"Lambert, Christophe"
"Lamers, Fabien"
"Lamert, Alberto"
"Lamy, Julien"
"Lang, Michael"
"Lang, Steven"
"Lanza, Tiziano"
"Lapcevic, Stefan"
"Lara, Jonathan"
"Lasser, Daniel"
"Latifi, Enis"
"Lauper, Sandro"
"Lavanchy, Numa"
"Lavorato, Luca"
"Lazraj, Arianit"
"Le Moal, Rayan"
"Lecureux, Leo"
"Ledergerber, Levin"
"Lefebvre, Jean-Pierre"
"Lehmann, Sven"
"Lehtinen, Alex"
"Leite, Christian"
"Lekaj, Granit"
"Lemaire, Tagro"
"Lenjani, Ermir"
"Leuenberger, Jeremy"
"Leutwiler, Jayson"
"Lichtsteiner, Konstantin"
"Lichtsteiner, Stephan"
"Liechti, Martin"
"Lika, Bujar"
"Liloia, Luca"
"Linares, Marcos"
"Lippuner, Marco"
"Ljubijankic, Uros"
"Llamas, Victor"
"Lluca, Ergin"
"Lobato, Deivid"
"Loble, Noah"
"Lokaj, Fabian"
"Lolala, Rael"
"Lombardi, Andrea"
"Lombardi, Sandro"
"Lonfat, Alain"
"Loosli, Jan"
"Loosli, Noah"
"Loosli, Raffael"
"Loosli, Simon"
"Lopar, Daniel"
"Lopes, Clement"
"Lorenzoni, Nicolai"
"Lotomba, Jordan"
"Lovisa, Noah"
"Luburic, Kristian"
"Lucas, Maurice"
"Luchinger, Gabriel"
"Luchinger, Nicolas"
"Lucic, Mario"
"Ludascher, Michael"
"Lugo, Luiyi"
"Lujic, Stevan"
"Lukaj, Beli"
"Lulic, Senad"
"Lungoyi, Christopher"
"Lupo, Alessio"
"Lurati, Ivan"
"Luscher, Tobias"
"Luscher-Boakye, Noah"
"Lustenberger, Claudio"
"Lustenberger, Fabian"
"Luther-King, Adjei"
"Luthi, Loris"
"Lutz, Eugene"
"Maag, Christian"
"Macedo, Ruben"
"Maceiras, Quentin"
"Mackie, Jamie"
"Mader, Matthew"
"Madorin, Andre"
"Maffi, Daniel"
"Magnin, Mathis"
"Mahrer, Gunter"
"Maiello, Giorgio"
"Maier, Alessandro"
"Maier, Nico"
"Makripodis, Kostas"
"Makshana, Qendrim"
"Makshana, Quendrim"
"Makuka, Herve"
"Malbasic, Bojan"
"Malele, Cephas"
"Males, Darian"
"Maliqi, Arber"
"Mall, Joel"
"Mallia, Leandro"
"Mallo, Bryan"
"Mallo, Yanick"
"Mambimbi, Felix"
"Manai, Abdallah"
"Manca, Alessandro"
"Manca, Etienne"
"Manco, Devin"
"Mangold, Marco"
"Maniere, Jeremy"
"Manis, Mehmet"
"Manser, Raul"
"Mansi, Gianmarco"
"Manso, Miguel Angel"
"Manu"
"Manzambi, Neftali"
"Marazzi, David"
"Marcel"
"Marchand, Yannick"
"Marchesano, Antonio"
"Marco Suri"
"Marguet, Alexandre"
"Mariani, Davide"
"Maric, Mijat"
"Marinkovic, Stefan"
"Marjanovic, Milan"
"Marjanovic, Nikola"
